Data	Durada (hores)	Títol	Origen
2025-06-15 22:45:00	1.17	TFG presentació iguanatex	estudi_TFG.ics
2025-02-20 12:15:00	1.0	TFG	classe_TFG.ics
2025-02-19 12:15:00	1.0	TFG	classe_TFG.ics
2025-02-27 12:15:00	1.0	TFG	classe_TFG.ics
2025-04-29 12:15:00	1.0	TFG	classe_TFG.ics
2025-04-28 12:15:00	1.0	Reunió - TFG	classe_TFG.ics
2025-02-17 12:15:00	1.0	TFG	classe_TFG.ics
2025-04-28 12:15:00	1.0	TFG	classe_TFG.ics
2025-03-03 12:15:00	1.0	TFG	classe_TFG.ics
2025-05-05 12:15:00	1.0	TFG	classe_TFG.ics
2025-03-05 12:15:00	1.0	Reunió TFG	classe_TFG.ics
2025-02-24 12:15:00	1.0	TFG	classe_TFG.ics
2025-02-26 12:15:00	1.0	TFG	classe_TFG.ics
2025-04-30 12:15:00	1.0	TFG	classe_TFG.ics
2025-05-08 12:15:00	1.0	TFG	classe_TFG.ics
2025-03-02 22:00:00	1.0	TFG	estudi_TFG.ics
2025-05-22 17:30:00	1.0	TFG - codi	estudi_TFG.ics
2025-05-16 19:00:00	1.0	TFG - codi	estudi_TFG.ics
2025-05-14 19:45:00	1.0	TFG - correu	estudi_TFG.ics
2025-05-29 11:30:00	1.0	Biblioteca TFG - memòria	estudi_TFG.ics
2025-06-09 22:00:00	1.0	TFG - memòria	estudi_TFG.ics
2025-05-07 16:15:00	1.0	TFG - codi	estudi_TFG.ics
2025-06-09 12:00:00	1.0	Reunió TFG	estudi_TFG.ics
2025-05-15 16:15:00	1.0	TFG - memòria	estudi_TFG.ics
2025-05-07 13:30:00	1.0	TFG - codi	estudi_TFG.ics
2025-05-14 16:15:00	1.0	TFG - codi	estudi_TFG.ics
2025-06-06 16:30:00	1.0	Correus TFG	estudi_TFG.ics
2025-05-09 17:15:00	1.0	TFG - memòria	estudi_TFG.ics
2025-06-09 20:15:00	0.75	TFG - memòria	estudi_TFG.ics
2025-05-06 13:15:00	0.75	TFG - codi	estudi_TFG.ics
2025-05-13 21:45:00	0.75	TFG - memòria	estudi_TFG.ics
2025-03-03 16:30:00	0.75	TFG	estudi_TFG.ics
2025-03-25 12:15:00	0.75	TFG	classe_TFG.ics
2025-04-01 12:15:00	0.75	TFG	classe_TFG.ics
2025-05-22 12:15:00	0.75	TFG	classe_TFG.ics
2025-04-30 12:30:00	0.75	TFG	classe_TFG.ics
2025-03-02 12:30:00	0.75	TFG	estudi_TFG.ics
2025-04-14 15:45:00	0.75	TFG - Correu Monxo	estudi_TFG.ics
2025-02-25 12:15:00	0.75	TFG	classe_TFG.ics
2025-05-30 13:15:00	0.75	TFG	estudi_TFG.ics
2025-03-31 12:30:00	0.75	TFG	classe_TFG.ics
2024-05-29 12:15:00	0.75	TFG - Despatx Monxo	estudi_TFG.ics
2025-05-13 12:15:00	0.75	TFG	classe_TFG.ics
2025-04-27 16:00:00	0.75	TFG - repàs apunts	estudi_TFG.ics
2025-05-12 12:15:00	0.67	Reunió TFG	classe_TFG.ics
2025-05-15 09:00:00	0.5	TFG - memòria	estudi_TFG.ics
2024-05-21 13:30:00	0.5	OF - entrega / TFG - correu Monxo	estudi_TFG.ics
2024-05-20 21:45:00	0.5	TFG - Correu Monxo ones magnetohidrodinàmiques	estudi_TFG.ics
2025-05-30 16:30:00	0.5	TFG	estudi_TFG.ics
2025-05-19 09:00:00	0.5	TFG - correu	estudi_TFG.ics
2025-05-11 15:00:00	0.5	TFG - memòria	estudi_TFG.ics
2025-06-04 10:30:00	0.5	Biblioteca TFG - memòria	estudi_TFG.ics
2025-05-22 09:00:00	0.5	TFG	estudi_TFG.ics
2025-05-11 22:00:00	0.5	TFG - memòria	estudi_TFG.ics
2025-05-12 20:30:00	0.5	TFG - codi	estudi_TFG.ics
2025-05-21 09:00:00	0.5	TFG - memòria	estudi_TFG.ics
2024-09-10 18:30:00	0.42	Correu TFG	estudi_TFG.ics
2024-09-12 16:30:00	0.25	Correu TFG	estudi_TFG.ics
